datetime,open,high,low,close,tick_volume,spread,TARGET,fractals_high,fractals_low,RSI_14,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,MOM_14,CCI_14_0.015,EMA_4_ema4o,EMA_5_ema5c,TARGET_BUY,TARGET_SELL
2021-11-25 10:00:00,1793.33,1795.03,1793.07,1794.3,2388,140,-1.0,True,False,57.85187289870777,98.889429074188,98.09929203050262,8.960000000000036,91.5385526070986,1792.7469410034548,1793.1200370376928,0.0,-1.0
2021-03-15 19:00:00,1729.02,1731.15,1727.96,1729.25,4516,140,0.0,False,False,55.86158997779109,33.30279238447162,31.63561683240688,1.5,50.72030443055863,1728.3186303198886,1728.6493346079385,0.0,0.0
2021-09-15 21:00:00,1792.35,1793.35,1790.7,1793.17,1999,140,1.0,False,True,37.72538461804877,3.933327486274365,1.3111091620913573,-10.129999999999882,-104.71099747403952,1793.714123181262,1793.8810969982085,1.0,0.0
2021-02-17 20:00:00,1775.72,1776.59,1771.4,1775.35,6863,140,0.0,False,False,,,,,,1778.12582,1777.8802222222223,0.0,0.0
2021-04-16 03:00:00,1763.87,1766.05,1762.34,1762.64,3354,140,-1.0,True,False,67.24652257946289,50.96024145891625,55.0581902203511,15.38000000000011,33.63914673477048,1764.0415508453443,1763.5146961354503,0.0,-1.0
2021-06-02 07:00:00,1897.9,1897.97,1896.0,1896.31,1343,140,0.0,False,False,37.080572816919485,45.03272585483173,42.29209918204614,-7.450000000000045,-148.66704841891286,1898.5830376754568,1897.937130768347,0.0,0.0
2021-03-16 15:00:00,1732.44,1735.58,1730.21,1734.42,10824,140,0.0,False,False,57.58525431311357,23.04745587807811,22.972057855248146,3.7200000000000273,54.36265641491792,1732.2672941817737,1732.9846686301637,0.0,0.0
2021-05-10 16:00:00,1842.25,1845.37,1837.72,1840.31,12029,140,-1.0,True,False,64.56848550202342,78.4809787429951,75.3827542205154,3.899999999999864,130.36486675038094,1840.263626547576,1839.9281638984812,0.0,-1.0
2021-03-31 02:00:00,1683.39,1685.51,1682.9,1685.45,2152,140,0.0,False,False,33.70582738653864,97.5170246208918,90.23427983289548,-12.579999999999927,-39.21476103132358,1683.7582844552358,1684.3582815964485,0.0,0.0
2021-06-17 06:00:00,1824.28,1824.51,1821.64,1822.24,3681,140,0.0,False,False,31.99991857739948,38.73209831032504,32.48770116079431,-35.46000000000004,-49.85863260308614,1822.3394809678136,1822.735625031321,0.0,0.0
2021-11-26 17:00:00,1798.52,1802.59,1797.54,1797.56,8201,140,0.0,False,False,48.02553621217856,10.055923359124362,27.21526300944495,5.139999999999873,-46.622958718356045,1803.549220955285,1801.8759685521868,0.0,0.0
2021-09-08 17:00:00,1788.89,1790.49,1783.96,1788.75,9489,140,0.0,False,False,25.927609729524,27.1732926750288,56.77874662181927,-9.599999999999907,-248.5672832789448,1793.8040175949698,1792.5033344034211,0.0,0.0
2021-07-07 13:00:00,1806.55,1808.36,1805.99,1806.64,3828,140,0.0,False,False,61.75604467218142,95.79815977762262,95.46378637294578,10.110000000000127,138.10266115729763,1804.7395039490568,1805.0289577601875,0.0,0.0
2021-11-29 20:00:00,1784.13,1785.14,1782.61,1783.92,2844,140,0.0,False,False,35.657052700128474,1.885457658600033,3.5362551584993582,-8.980000000000018,-110.11267158612452,1785.7615829936235,1785.6279582045545,0.0,0.0
2021-10-26 12:00:00,1802.24,1803.78,1801.24,1802.95,2988,140,0.0,False,False,50.09729052345253,18.63635170203243,16.05269061543034,-5.180000000000064,-85.10187047602359,1802.5995548138555,1802.8763905669416,0.0,0.0
2021-07-22 10:00:00,1801.57,1803.34,1800.29,1800.48,4408,140,-1.0,True,False,43.30341259996835,57.90014153447586,35.30467682108155,-2.450000000000045,-9.140857767958993,1800.1844721123466,1800.2777356764884,0.0,-1.0
2021-07-16 23:00:00,1810.37,1811.91,1810.03,1811.83,1041,140,0.0,False,False,36.69908632013488,12.360609778891956,14.141904282884186,-12.029999999999973,-98.03878553878116,1812.59504934788,1812.7107980951391,0.0,0.0
2021-10-22 15:00:00,1792.33,1806.83,1791.19,1805.74,7881,140,1.0,False,True,77.35485220341673,77.75831578993149,74.2355548859842,22.08999999999992,199.5692243968158,1792.0490717616328,1796.459884266333,1.0,0.0
