datetime,open,high,low,close,tick_volume,spread,TARGET,t_price,fractals_high,fractals_low,RSI_14,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,MOM_14,CCI_14_0.015,EMA_4_ema4o,EMA_5_ema5c
2019-08-05 20:00:00,1465.76,1466.06,1462.36,1464.44,7550,160,,,False,False,69.60277456247437,29.418624188188673,55.467479024651745,12.200000000000045,88.24224538811501,1464.3969638589492,1464.0889612611277
2019-08-05 21:00:00,1464.45,1468.31,1464.12,1467.39,5673,160,,,False,False,72.54097920946042,32.97927227827998,40.72821709640791,14.310000000000173,112.70836111481334,1464.4181783153695,1465.1893075074186
2019-08-05 22:00:00,1467.38,1469.72,1459.65,1460.99,8087,160,1.0,1469.72,False,True,59.176801898396484,17.056242185203384,26.484712883890793,8.150000000000091,44.60438922139806,1465.6029069892218,1463.789538338279
2019-08-05 23:00:00,1460.97,1464.69,1460.3,1463.66,2061,160,,,False,False,62.29745472683891,19.730345523222848,23.25528666223552,5.220000000000027,25.49116724451122,1463.7497441935332,1463.746358892186
2019-08-06 01:00:00,1467.98,1474.04,1466.43,1473.99,5229,160,,,False,False,71.40501490946103,27.736809105344623,21.507798937923734,17.59999999999991,187.41633199464755,1465.44184651612,1467.160905928124
2019-08-06 02:00:00,1474.0,1474.75,1471.61,1473.98,4247,160,,,False,False,71.3870371693072,49.801824747664874,32.4229931254109,16.710000000000036,188.18472070024393,1468.865107909672,1469.433937285416
2019-08-06 03:00:00,1473.98,1474.87,1469.33,1470.14,6644,160,-1.0,1474.87,True,False,64.65531021411985,54.062685988654216,43.86710661388802,13.360000000000127,122.25598936657524,1470.911064745803,1469.6692915236108
2019-08-06 04:00:00,1470.14,1470.16,1460.11,1463.05,13888,160,1.0,1460.11,False,True,54.446467022751875,31.965182920096357,45.2765645521386,4.759999999999991,-19.95740283840952,1470.6026388474818,1467.4628610157406
2019-08-06 05:00:00,1463.01,1467.93,1462.784,1466.91,6557,160,,,False,False,58.30630008988194,15.451604442052892,33.826491116934605,7.040000000000191,0.37810134427311604,1467.565583308489,1467.2785740104937
2019-08-06 06:00:00,1466.91,1467.51,1460.35,1460.91,6173,160,,,False,False,51.063512164976046,5.551437164276819,17.65607484214214,-1.699999999999818,-70.98610445615576,1467.3033499850935,1465.1557160069958
2019-08-06 07:00:00,1460.92,1463.69,1456.38,1463.03,8386,160,1.0,1456.38,False,True,53.2722027898497,8.323478632885752,9.775506746405272,-1.3900000000001,-104.54882455352956,1464.7500099910562,1464.4471440046639
2019-08-06 08:00:00,1463.03,1463.64,1459.45,1461.41,6325,160,,,False,False,51.36442258514036,3.231535090356014,5.702150295839645,-4.759999999999991,-82.34699236253117,1464.0620059946336,1463.4347626697759
2019-08-06 09:00:00,1461.41,1465.21,1460.87,1461.71,7722,160,-1.0,1465.21,True,False,51.70931368270553,4.217681326665196,5.257565016635771,-1.7300000000000182,-63.16029194567727,1463.0012035967802,1462.8598417798505
2019-08-06 10:00:00,1461.71,1464.32,1458.42,1461.26,8919,160,1.0,1458.42,False,True,51.12368011855006,1.539021374988085,2.9960792640032152,-4.519999999999982,-80.31711436288442,1462.484722158068,1462.326561186567
2019-08-06 11:00:00,1461.29,1462.74,1460.12,1462.24,5317,160,,,False,False,52.388325853297225,3.1356573790440803,2.9641200268992374,-2.2000000000000455,-66.2706907184414,1462.0068332948408,1462.2977074577113
2019-08-06 12:00:00,1462.22,1463.68,1460.929,1463.07,3907,160,,,False,False,53.486042812756374,6.119277910068296,3.5979855547002706,-4.320000000000164,-44.30624019219003,1462.0920999769046,1462.5551383051409
2019-08-06 13:00:00,1463.07,1465.67,1463.05,1465.17,3216,160,,,False,False,56.235367864981235,14.500943304157488,7.918626197756738,4.180000000000064,-4.42302379592866,1462.4832599861427,1463.4267588700939
2019-08-06 14:00:00,1465.17,1467.35,1462.03,1463.38,6078,160,-1.0,1467.35,False,False,53.34119819959648,16.177225623251953,12.265815612492696,-0.2799999999999727,-14.3524109361109,1463.5579559916857,1463.4111725800626
2019-08-06 15:00:00,1463.32,1467.12,1462.8,1465.69,7751,160,,,False,False,56.45570539592833,21.05138599585966,17.243184974423155,-8.299999999999955,18.219926837919225,1463.4627735950114,1464.1707817200418
2019-08-06 16:00:00,1465.69,1468.11,1463.11,1465.92,11161,160,,,False,False,56.765155191900796,26.55938730825825,21.262666309123407,-8.059999999999945,59.17726431428918,1464.353664157007,1464.753854480028
2019-08-06 17:00:00,1465.91,1472.32,1464.35,1471.48,10321,160,,,False,False,63.51514614825172,56.16030869669408,34.59036066693745,1.3399999999999181,201.7209292330203,1464.9761984942043,1466.9959029866852
2019-08-06 18:00:00,1471.48,1473.79,1468.44,1469.48,8580,160,-1.0,1473.79,True,False,59.89284843164492,70.95273396514087,51.22414332336452,6.430000000000064,184.9094099049825,1467.5777190965225,1467.823935324457
2019-08-06 19:00:00,1469.47,1471.75,1468.6,1471.38,5796,160,,,False,False,62.103951833428404,86.52521685590072,71.21275317257867,4.470000000000027,150.24105272023067,1468.3346314579135,1469.0092902163046
2019-08-06 20:00:00,1471.4,1473.55,1470.96,1471.63,5533,160,-1.0,1473.55,False,False,62.39769836910555,83.51925620398185,80.33240234167461,10.720000000000027,143.58407974083423,1469.5607788747482,1469.882860144203
2019-08-06 21:00:00,1471.61,1472.72,1468.25,1470.76,5944,160,1.0,1468.25,False,True,60.636229606914114,85.47188432343734,85.17211912777343,7.730000000000018,92.26725221890842,1470.380467324849,1470.1752400961354
2019-08-06 22:00:00,1470.72,1473.48,1469.89,1472.7,3777,160,,,False,False,63.13533099106051,88.22797488963907,85.73970513901953,11.289999999999964,99.22848616184893,1470.5162803949095,1471.016826730757
2019-08-06 23:00:00,1472.77,1474.35,1472.36,1474.31,1799,160,,,False,False,65.11475050731661,91.23393554155793,88.31126491821156,12.599999999999909,108.72747150877345,1471.4177682369457,1472.114551153838
2019-08-07 01:00:00,1474.19,1476.58,1472.86,1473.33,2537,160,,,False,False,62.90079678423199,93.17945171834509,90.88045404984747,12.069999999999936,105.0514889557229,1472.5266609421674,1472.5197007692252
2019-08-07 02:00:00,1473.34,1477.27,1472.21,1476.78,3128,160,1.0,1472.21,False,True,67.13697651528646,94.20116337129724,92.87151687706687,14.539999999999964,116.18083511279312,1472.8519965653004,1473.9398005128169
2019-08-07 03:00:00,1476.78,1479.75,1475.77,1477.63,6418,160,,,False,False,68.1033378564641,94.20116337129724,93.8605928203133,14.560000000000173,147.97243380485557,1474.4231979391802,1475.1698670085445
2019-08-07 04:00:00,1477.63,1490.1,1474.46,1484.32,14758,160,-1.0,1490.1,True,False,74.46721860703698,100.00000000000004,96.1341089141983,19.149999999999864,202.06698400446004,1475.7059187635082,1478.2199113390297
2019-08-07 05:00:00,1484.42,1487.93,1483.25,1484.72,8385,160,,,False,False,74.79107294099192,100.00000000000004,98.06705445709923,21.339999999999918,188.40658289214267,1479.191551258105,1480.3866075593533
2019-08-07 06:00:00,1484.73,1487.37,1484.64,1486.19,5493,160,,,False,False,75.99604352207093,100.00000000000004,100.00000000000017,20.5,156.50256128409575,1481.406930754863,1482.3210717062354
2019-08-07 07:00:00,1486.19,1486.29,1484.09,1484.79,3221,160,,,False,False,72.44445521561228,92.64827407125311,97.54942469041787,18.86999999999989,114.24783761463829,1483.320158452918,1483.144047804157
2019-08-07 08:00:00,1484.79,1486.11,1481.22,1486.0,5699,160,1.0,1481.22,False,True,73.59311350575285,87.67425079445484,93.44084162190279,14.519999999999982,88.14358185629294,1483.9080950717507,1484.096031869438
2019-08-07 09:00:00,1485.99,1491.25,1484.68,1485.42,8110,160,-1.0,1491.25,True,False,72.04286915683004,79.09520943567038,86.47257810045956,15.940000000000055,100.24452738355431,1484.7408570430505,1484.5373545796253
2019-08-07 10:00:00,1485.42,1490.9,1485.25,1485.4,8328,160,,,False,False,71.98655714172853,77.74568763123152,81.50504928711904,14.019999999999982,86.33446583616276,1485.0125142258303,1484.8249030530835
2019-08-07 11:00:00,1485.4,1487.87,1484.99,1486.91,4951,160,1.0,1484.99,False,False,73.66053117023587,77.65126332410341,78.16405346366855,15.279999999999973,70.0264376726844,1485.1675085354982,1485.5199353687224
2019-08-07 12:00:00,1486.85,1488.75,1485.94,1487.02,5193,160,,,False,False,73.78343303448062,80.59820897700365,78.66505331077964,16.25999999999999,70.90784729093228,1485.840505121299,1486.0199569124816
2019-08-07 13:00:00,1487.02,1489.77,1486.87,1489.45,4217,160,,,False,False,76.40287522756505,89.29945671018943,82.51630967043228,16.75,86.41735370408834,1486.3123030727793,1487.1633046083211
2019-08-07 14:00:00,1489.45,1495.43,1488.7,1494.9,7527,160,,,False,False,80.99042098655295,94.36790429411582,88.08852332710308,20.590000000000146,148.99044940528583,1487.5673818436676,1489.7422030722141
2019-08-07 15:00:00,1494.92,1499.38,1491.4,1497.34,14171,160,,,False,False,82.6195666897595,100.00000000000004,94.5557870014352,24.00999999999999,191.99987097606095,1490.5084291062005,1492.2748020481426
2019-08-07 16:00:00,1497.34,1509.25,1494.71,1508.05,15564,160,,,False,False,87.63054334253954,100.00000000000004,98.12263476470542,31.269999999999982,250.28837633773998,1493.2410574637204,1497.5332013654283
2019-08-07 17:00:00,1507.95,1510.35,1496.7,1501.28,15963,160,-1.0,1510.35,True,False,73.25337661390651,69.36593494760376,89.78864498253473,23.649999999999864,165.0511710081156,1499.1246344782323,1498.7821342436189
2019-08-07 18:00:00,1501.25,1508.88,1500.91,1506.68,11061,160,,,False,False,76.55720159105503,45.77147590256735,71.7124702833905,22.360000000000127,148.1000272684972,1499.9747806869393,1501.4147561624127
2019-08-07 19:00:00,1506.66,1510.03,1504.56,1505.0,10380,160,-1.0,1510.03,False,False,73.5147561704838,15.694343832217443,43.61058489412964,20.279999999999973,125.93136286216614,1502.6488684121637,1502.6098374416085
2019-08-07 20:00:00,1505.01,1508.4,1500.48,1503.05,12206,160,1.0,1500.48,False,False,70.03566342922984,12.995075551280387,24.820298428688517,16.8599999999999,85.05595806090606,1503.593321047298,1502.7565582944057
2019-08-07 21:00:00,1503.05,1508.92,1501.4,1503.13,10472,160,-1.0,1508.92,False,False,70.09818488698461,3.3746475724833735,10.688022318660524,18.340000000000146,76.55241997126075,1503.3759926283788,1502.8810388629372
2019-08-07 22:00:00,1503.13,1505.67,1493.87,1495.3,9210,160,1.0,1493.87,False,True,57.460911084704456,0.1184463094999515,5.496056477754695,9.299999999999955,16.392419175024852,1503.2775955770273,1500.3540259086249
2019-08-07 23:00:00,1495.27,1502.02,1495.2,1501.06,3323,160,,,False,False,62.77711957278106,5.9921324084258885,3.161742096803195,15.639999999999873,20.607115316481416,1500.0745573462164,1500.5893506057498
2019-08-08 01:00:00,1500.07,1500.56,1497.24,1497.81,2506,160,,,False,False,58.34640775025185,6.852039274264432,4.320872664063548,12.409999999999854,3.741609289569491,1500.0727344077297,1499.6629004038332
2019-08-08 02:00:00,1497.81,1502.0,1495.6,1501.65,3641,160,1.0,1495.6,False,False,61.77888754371619,11.622814980234297,8.155662220974996,14.740000000000009,8.306885145451247,1499.167640644638,1500.3252669358887
